#time  flux    error
55023.0566737     0.808066494282     3.6e-05
55023.0771078     0.807023379274     3.6e-05
55023.0975417     0.819673484019     3.6e-05
55023.1179758     0.845607289185     3.6e-05
55023.1384099     0.8786815607     3.6e-05
55023.1588438     0.913476964283     3.6e-05
55023.179278     0.948399055702     3.6e-05
55023.199712     0.973679800678     3.6e-05
55023.2201459     0.986053737928     3.6e-05
55023.24058     0.987552107091     3.6e-05
55023.2610141     0.988299314345     3.6e-05
55023.2814482     0.990336116126     3.7e-05
55023.3018821     0.990872351214     3.7e-05
55023.3223162     0.993077252874     3.7e-05
55023.3427503     0.994388512839     3.7e-05
55023.3631842     0.996561768807     3.7e-05
55023.3836183     0.997813356388     3.7e-05
55023.4040524     0.999790271752     3.7e-05
55023.4244863     1.00202169074     3.7e-05
55023.4449204     1.003349496     3.8e-05
55023.4653545     1.0049537249     3.8e-05
55023.4857885     1.00751156731     3.8e-05
55023.5062225     1.00772907731     3.8e-05
55023.5266565     1.01078335989     3.8e-05
55023.5470906     1.01148182501     3.8e-05
55023.5675246     1.01266179679     3.8e-05
55023.5879586     1.01373634993     3.8e-05
55023.6083928     1.01455737751     3.8e-05
55023.6288267     1.01498168383     3.8e-05
55023.6492607     1.01577072429     3.8e-05
55023.6696947     1.01553615706     3.8e-05
55023.6901288     1.01602172169     3.8e-05
55023.7105628     1.01534079633     3.8e-05
55023.7309969     1.01492463454     3.8e-05
55023.7514309     1.01433705432     3.8e-05
55023.771865     1.01330539767     3.8e-05
55023.792299     1.01237134457     3.8e-05
55023.8127329     1.01106140055     3.8e-05
55023.833167     1.00929719375     3.8e-05
55023.8536011     1.00856824593     3.8e-05
55023.874035     1.00626031425     3.8e-05
55023.8944692     1.00483757943     3.8e-05
55023.9149032     1.00323074858     3.8e-05
55023.9353371     1.00104393913     3.8e-05
55023.9557711     0.999860335719     3.8e-05
55023.9762053     0.997491143821     3.8e-05
55023.9966392     0.995576478763     3.8e-05
55024.0170732     0.994005085933     3.8e-05
55024.0579413     0.990794657177     3.8e-05
55024.0783753     0.989750489776     3.8e-05
55024.0988093     0.988694224673     3.8e-05
55024.1192435     0.978414240268     3.8e-05
55024.1396774     0.959288174645     3.8e-05
55024.1601114     0.928977317814     3.8e-05
55024.1805456     0.898434955497     3.8e-05
55024.2009795     0.867533847543     3.8e-05
55024.2214135     0.843034028956     3.8e-05
55024.2418475     0.828786856187     3.8e-05
55024.2622816     0.826660101952     3.8e-05
55024.2827156     0.839181287173     3.8e-05
55024.3031496     0.860031982382     3.8e-05
55024.3235836     0.890233900885     3.8e-05
55024.3440177     0.921417409832     3.8e-05
55024.3644517     0.951572746568     3.8e-05
55024.3848856     0.975241107101     3.8e-05
55024.4053197     0.987365634049     3.8e-05
55024.4257538     0.989181307524     3.8e-05
55024.4461877     0.98963856636     3.8e-05
55024.4666218     0.9923659826     3.8e-05
55024.4870558     0.992275560518     3.8e-05
55024.5074898     0.994297374659     3.8e-05
55024.5279238     0.996064021787     3.8e-05
55024.5483579     0.996775033159     3.8e-05
55024.5687919     0.998786518435     3.8e-05
55024.5892259     1.00029602637     3.8e-05
55024.60966     1.00003006119     3.8e-05
55024.630094     1.00308187582     3.8e-05
55024.6505279     1.0042448927     3.8e-05
55024.6709619     1.00519057007     3.8e-05
55024.6913961     1.00682760909     3.8e-05
55024.71183     1.00758431482     3.8e-05
55024.732264     1.00875288252     3.8e-05
55024.7526981     1.01002451475     3.8e-05
55024.773132     1.00966372475     3.8e-05
55024.793566     1.01173914443     3.8e-05
55024.8140001     1.0119876854     3.8e-05
55024.8344342     1.01219540345     3.8e-05
55024.8548681     1.01257831171     3.8e-05
55024.8753021     1.01320647271     3.8e-05
55024.9161701     1.01316056723     3.8e-05
55024.9366042     1.01251320669     3.8e-05
55024.9570381     1.01244131599     3.8e-05
55024.9774722     1.01208916822     3.8e-05
55024.9979062     1.01163148557     3.8e-05
55025.0183402     1.01057783104     3.8e-05
55025.0387742     1.01003270019     3.8e-05
55025.0592083     1.00985466117     3.8e-05
55025.0796423     1.00745375573     3.8e-05
55025.1000762     1.00717522059     3.8e-05
55025.1205103     1.00646696236     3.8e-05
55025.1409443     1.00391866886     3.8e-05
55025.1613782     1.00407786998     3.8e-05
55025.1818123     1.00163124022     3.8e-05
55025.2022464     1.00073486619     3.8e-05
55025.2226803     0.998552000249     3.7e-05
55025.2431143     0.997820676288     3.7e-05
55025.2635484     0.995715960953     3.7e-05
55025.2839823     0.994547384792     3.7e-05
55025.3044163     0.993613133952     3.7e-05
55025.3248503     0.991625231547     3.7e-05
55025.3452844     0.991011807225     3.7e-05
55025.3657183     0.989018894052     3.7e-05
55025.3861524     0.987610039316     3.6e-05
55025.4065864     0.976655677287     3.6e-05
55025.4270204     0.9505075609     3.6e-05
55025.4474544     0.916650511982     3.6e-05
55025.4678884     0.88053245452     3.6e-05
55025.4883224     0.847103296576     3.6e-05
55025.5087563     0.820995078608     3.6e-05
55025.5291904     0.807228263614     3.6e-05
55025.5496244     0.807740224343     3.5e-05
55025.5700584     0.822043790145     3.5e-05
55025.5904923     0.848571390576     3.5e-05
55025.6109264     0.881886876852     3.6e-05
55025.6313604     0.917479773961     3.6e-05
55025.6517943     0.951302235289     3.6e-05
55025.6722283     0.975623182812     3.6e-05
55025.6926625     0.986214120158     3.6e-05
55025.7130964     0.987510438197     3.6e-05
55025.7335304     0.988415748937     3.6e-05
55025.7539645     0.989920147537     3.6e-05
55025.7743984     0.991469428873     3.7e-05
55025.7948324     0.992765636515     3.7e-05
55025.8152664     0.99463150569     3.7e-05
55025.8357004     0.996824718171     3.7e-05
55025.8561344     0.997588254983     3.7e-05
55025.8765684     0.999967701064     3.7e-05
55025.8970025     1.00196688341     3.7e-05
55025.9174364     1.00289375025     3.7e-05
55025.9378704     1.00562916095     3.8e-05
55025.9583043     1.00636994895     3.8e-05
55025.9787384     1.00880507637     3.8e-05
55025.9991724     1.00994851292     3.8e-05
55026.0196063     1.01125805093     3.8e-05
55026.0400404     1.01254511272     3.8e-05
55026.0604744     1.0135286936     3.8e-05
55026.0809084     1.01452520303     3.8e-05
55026.1013423     1.01498543805     3.8e-05
55026.1217764     1.0151478212     3.8e-05
55026.1422104     1.01583732343     3.8e-05
55026.1626443     1.01582539852     3.8e-05
55026.1830784     1.01477275306     3.8e-05
55026.2035124     1.01529019686     3.8e-05
55026.2239463     1.01390661117     3.8e-05
55026.2443803     1.01327768437     3.8e-05
55026.2648144     1.01215758761     3.8e-05
55026.2852483     1.0106714097     3.8e-05
55026.3056823     1.00983296736     3.8e-05
55026.3261164     1.00792995105     3.8e-05
55026.3465504     1.00645136003     3.8e-05
55026.3669843     1.00443368565     3.8e-05
55026.3874183     1.00306319391     3.8e-05
55026.4078523     1.00069495697     3.8e-05
55026.4282862     0.999315620833     3.8e-05
55026.4487202     0.997244779729     3.8e-05
55026.4691543     0.995201785407     3.8e-05
55026.4895882     0.993716086253     3.8e-05
55026.5100222     0.992074010019     3.8e-05
